utc_timestamp,cet_cest_timestamp,DK_load_actual_entsoe_transparency,DK_load_forecast_entsoe_transparency,DK_solar_capacity,DK_solar_generation_actual,DK_wind_capacity,DK_wind_generation_actual,DK_wind_offshore_capacity,DK_wind_offshore_generation_actual,DK_wind_onshore_capacity,DK_wind_onshore_generation_actual
2018-12-31T23:00:00Z,2019-01-01T00:00:00+0100,3260.3,3216,547,0,6070,3794.28,1701,902.91,4369,2891.37
2019-01-01T00:00:00Z,2019-01-01T01:00:00+0100,3186.04,3139.5,547,0,6070,4103.16,1701,1026,4369,3077.16
2019-01-01T01:00:00Z,2019-01-01T02:00:00+0100,3070.07,3050.9,547,0,6070,3474.93,1701,567.18,4369,2907.75
2019-01-01T02:00:00Z,2019-01-01T03:00:00+0100,2966.19,2950.9,547,0,6070,3368.44,1701,502.79,4369,2865.65
2019-01-01T03:00:00Z,2019-01-01T04:00:00+0100,2933.48,2895.7,547,0,6070,3273.42,1701,491.13,4369,2782.29
2019-01-01T04:00:00Z,2019-01-01T05:00:00+0100,2940.64,2913.9,547,0,6070,3195.29,1701,490.14,4369,2705.15
2019-01-01T05:00:00Z,2019-01-01T06:00:00+0100,3035.76,2958.5,547,0,6070,3473.87,1701,487.53,4369,2986.34
2019-01-01T06:00:00Z,2019-01-01T07:00:00+0100,3100.51,3021.6,547,0,6070,3483.33,1701,493.43,4369,2989.9
2019-01-01T07:00:00Z,2019-01-01T08:00:00+0100,3208.1,3185.4,547,0.48,6070,3596.65,1701,655.83,4369,2940.82
2019-01-01T08:00:00Z,2019-01-01T09:00:00+0100,3337.19,3344,547,21.87,6070,3868.76,1701,653.22,4369,3215.54
2019-01-01T09:00:00Z,2019-01-01T10:00:00+0100,3530.81,3548.5,547,82.28,6070,3775.04,1701,634.43,4369,3140.61
2019-01-01T10:00:00Z,2019-01-01T11:00:00+0100,3679.1,3700.9,547,142.48,6070,3898.56,1701,933.59,4369,2964.97
2019-01-01T11:00:00Z,2019-01-01T12:00:00+0100,3746.84,3763.6,547,168.67,6070,3868.2,1701,919.48,4369,2948.72
2019-01-01T12:00:00Z,2019-01-01T13:00:00+0100,3761.13,3765.9,547,136.52,6070,3756.7,1701,582.25,4369,3174.45
2019-01-01T13:00:00Z,2019-01-01T14:00:00+0100,3800.54,3843.4,547,75.78,6070,3989.52,1701,541.91,4369,3447.61
2019-01-01T14:00:00Z,2019-01-01T15:00:00+0100,3760.58,3852.2,547,17.57,6070,3867.65,1701,576.27,4369,3291.38
2019-01-01T15:00:00Z,2019-01-01T16:00:00+0100,4202.2,4080.4,547,1.09,6070,4155.5,1701,916.75,4369,3238.75
2019-01-01T16:00:00Z,2019-01-01T17:00:00+0100,4384.13,4464.8,547,0,6070,4352,1701,856.61,4369,3495.39
2019-01-01T17:00:00Z,2019-01-01T18:00:00+0100,4360.38,4307.9,547,0,6070,4563.69,1701,980,4369,3583.69
2019-01-01T18:00:00Z,2019-01-01T19:00:00+0100,4137.21,4104.6,547,0,6070,4067.9,1701,601.68,4369,3466.22
2019-01-01T19:00:00Z,2019-01-01T20:00:00+0100,3944.49,3888.5,547,0,6070,3990.65,1701,613.13,4369,3377.52
2019-01-01T20:00:00Z,2019-01-01T21:00:00+0100,3671.11,3705.3,547,0,6070,3600.93,1701,475.26,4369,3125.67
2019-01-01T21:00:00Z,2019-01-01T22:00:00+0100,3454.36,3480.9,547,0,6070,3564.85,1701,637.89,4369,2926.96
2019-01-01T22:00:00Z,2019-01-01T23:00:00+0100,3208.53,3325.9,547,0,6070,3265.57,1701,490.46,4369,2775.11
2019-01-01T23:00:00Z,2019-01-02T00:00:00+0100,3028.11,3071.7,547,0,6070,3057.1,1701,492.57,4369,2564.53
2019-01-02T00:00:00Z,2019-01-02T01:00:00+0100,2946.07,2944.5,547,0,6070,2998.6,1701,491.33,4369,2507.27
2019-01-02T01:00:00Z,2019-01-02T02:00:00+0100,2889.81,2919.3,547,0,6070,2946.49,1701,486.55,4369,2459.94
2019-01-02T02:00:00Z,2019-01-02T03:00:00+0100,2921.59,2950.8,547,0,6070,2841.04,1701,454.94,4369,2386.1
2019-01-02T03:00:00Z,2019-01-02T04:00:00+0100,3006.97,3083.7,547,0,6070,2749.17,1701,457.72,4369,2291.45
2019-01-02T04:00:00Z,2019-01-02T05:00:00+0100,3209.86,3267.8,547,0,6070,3034.71,1701,486.12,4369,2548.59
2019-01-02T05:00:00Z,2019-01-02T06:00:00+0100,3743.37,3826.1,547,0,6070,3444.31,1701,630.96,4369,2813.35
2019-01-02T06:00:00Z,2019-01-02T07:00:00+0100,4305.69,4409.8,547,1.01,6070,3661.15,1701,1031.75,4369,2629.4
2019-01-02T07:00:00Z,2019-01-02T08:00:00+0100,4626.48,4605.2,547,1.78,6070,3485.04,1701,1036.08,4369,2448.96
2019-01-02T08:00:00Z,2019-01-02T09:00:00+0100,4738.52,4737.2,547,40.99,6070,3301.45,1701,1024.75,4369,2276.7
2019-01-02T09:00:00Z,2019-01-02T10:00:00+0100,4721.57,4795.5,547,140.47,6070,3132.83,1701,1001.83,4369,2131
2019-01-02T10:00:00Z,2019-01-02T11:00:00+0100,4722.6,4746.9,547,228.65,6070,2942.27,1701,953.99,4369,1988.28
2019-01-02T11:00:00Z,2019-01-02T12:00:00+0100,4621.2,4668.3,547,256.76,6070,2795.44,1701,960.09,4369,1835.35
2019-01-02T12:00:00Z,2019-01-02T13:00:00+0100,4622.98,4593.9,547,225.28,6070,2459.51,1701,915.04,4369,1544.47
2019-01-02T13:00:00Z,2019-01-02T14:00:00+0100,4555.68,4572,547,132.42,6070,2135.67,1701,847.14,4369,1288.53
2019-01-02T14:00:00Z,2019-01-02T15:00:00+0100,4517.9,4514.7,547,25.21,6070,1811.5,1701,777.79,4369,1033.71
2019-01-02T15:00:00Z,2019-01-02T16:00:00+0100,4764.5,4818,547,1.14,6070,1633.83,1701,763.39,4369,870.44
2019-01-02T16:00:00Z,2019-01-02T17:00:00+0100,5226.79,5166.9,547,0,6070,1471.77,1701,709.01,4369,762.76
2019-01-02T17:00:00Z,2019-01-02T18:00:00+0100,5081.76,5005.5,547,0,6070,1447.42,1701,814.67,4369,632.75
2019-01-02T18:00:00Z,2019-01-02T19:00:00+0100,4744.07,4680.2,547,0,6070,1330.03,1701,810.58,4369,519.45
2019-01-02T19:00:00Z,2019-01-02T20:00:00+0100,4410.61,4329.3,547,0,6070,973.03,1701,517.59,4369,455.44
2019-01-02T20:00:00Z,2019-01-02T21:00:00+0100,4120.74,4058.6,547,0,6070,795.28,1701,363.79,4369,431.49
2019-01-02T21:00:00Z,2019-01-02T22:00:00+0100,3811,3758.3,547,0,6070,929.33,1701,487.11,4369,442.22
2019-01-02T22:00:00Z,2019-01-02T23:00:00+0100,3527.71,3493.7,547,0,6070,1130.12,1701,637.93,4369,492.19
2019-01-02T23:00:00Z,2019-01-03T00:00:00+0100,3361.87,3312.6,547,0,6070,1223.49,1701,733.48,4369,490.01
2019-01-03T00:00:00Z,2019-01-03T01:00:00+0100,3234.73,3188.2,547,0,6070,1345.57,1701,871.91,4369,473.66
2019-01-03T01:00:00Z,2019-01-03T02:00:00+0100,3198.97,3183.6,547,0,6070,1378.2,1701,837.9,4369,540.3
2019-01-03T02:00:00Z,2019-01-03T03:00:00+0100,3238.15,3223.9,547,0,6070,1428.65,1701,849.16,4369,579.49
2019-01-03T03:00:00Z,2019-01-03T04:00:00+0100,3313.59,3345.2,547,0,6070,1366.38,1701,768.43,4369,597.95
2019-01-03T04:00:00Z,2019-01-03T05:00:00+0100,3526.59,3551.9,547,0,6070,1234.36,1701,624.04,4369,610.32
2019-01-03T05:00:00Z,2019-01-03T06:00:00+0100,4088.35,4072,547,0,6070,1159.77,1701,519.57,4369,640.2
2019-01-03T06:00:00Z,2019-01-03T07:00:00+0100,4742.17,4749.4,547,0,6070,1231.5,1701,563.68,4369,667.82
2019-01-03T07:00:00Z,2019-01-03T08:00:00+0100,4976.11,5033.1,547,1,6070,1042.06,1701,434.46,4369,607.6
2019-01-03T08:00:00Z,2019-01-03T09:00:00+0100,4959.18,5013.3,547,45.13,6070,873.36,1701,368.16,4369,505.2
2019-01-03T09:00:00Z,2019-01-03T10:00:00+0100,4972.28,5004.5,547,121.4,6070,708.52,1701,318.7,4369,389.82
2019-01-03T10:00:00Z,2019-01-03T11:00:00+0100,4959.26,4960,547,170.1,6070,583.87,1701,264.94,4369,318.93
2019-01-03T11:00:00Z,2019-01-03T12:00:00+0100,4878.72,4885.5,547,154.44,6070,479.87,1701,208.87,4369,271
2019-01-03T12:00:00Z,2019-01-03T13:00:00+0100,4888.67,4850.4,547,121.31,6070,476.3,1701,214.39,4369,261.91
2019-01-03T13:00:00Z,2019-01-03T14:00:00+0100,4812.18,4801.1,547,57.89,6070,461.8,1701,188.31,4369,273.49
2019-01-03T14:00:00Z,2019-01-03T15:00:00+0100,4778.53,4719.2,547,11.99,6070,557.59,1701,227,4369,330.59
2019-01-03T15:00:00Z,2019-01-03T16:00:00+0100,5046.46,4978.5,547,1.09,6070,682.7,1701,236.71,4369,445.99
2019-01-03T16:00:00Z,2019-01-03T17:00:00+0100,5465.68,5372.2,547,0,6070,814.97,1701,217.67,4369,597.3
2019-01-03T17:00:00Z,2019-01-03T18:00:00+0100,5218.3,5204.6,547,0,6070,1156.78,1701,330.92,4369,825.86
2019-01-03T18:00:00Z,2019-01-03T19:00:00+0100,4866.31,4869.9,547,0,6070,1303.7,1701,357.03,4369,946.67
2019-01-03T19:00:00Z,2019-01-03T20:00:00+0100,4535.72,4556.5,547,0,6070,1499.78,1701,363.93,4369,1135.85
2019-01-03T20:00:00Z,2019-01-03T21:00:00+0100,4228,4266.4,547,0,6070,1916.04,1701,493.82,4369,1422.22
2019-01-03T21:00:00Z,2019-01-03T22:00:00+0100,3918.07,3944.4,547,0,6070,2230.88,1701,567.09,4369,1663.79
2019-01-03T22:00:00Z,2019-01-03T23:00:00+0100,3583.5,3652.3,547,1,6070,2518.2,1701,620.49,4369,1897.71
2019-01-03T23:00:00Z,2019-01-04T00:00:00+0100,3384.36,3343.1,547,0,6070,2828.38,1701,672.36,4369,2156.02
2019-01-04T00:00:00Z,2019-01-04T01:00:00+0100,3275.4,3220,547,0,6070,3132.2,1701,767.3,4369,2364.9
2019-01-04T01:00:00Z,2019-01-04T02:00:00+0100,3181.18,3152.6,547,0,6070,3468.82,1701,905.43,4369,2563.39
2019-01-04T02:00:00Z,2019-01-04T03:00:00+0100,3237.53,3183.7,547,0,6070,3634.54,1701,978.45,4369,2656.09
2019-01-04T03:00:00Z,2019-01-04T04:00:00+0100,3303.43,3297.4,547,0,6070,3645.32,1701,965.82,4369,2679.5
2019-01-04T04:00:00Z,2019-01-04T05:00:00+0100,3580,3550.2,547,0,6070,3642.16,1701,981.26,4369,2660.9
2019-01-04T05:00:00Z,2019-01-04T06:00:00+0100,4094.16,4157.1,547,0,6070,3489.07,1701,972.51,4369,2516.56
2019-01-04T06:00:00Z,2019-01-04T07:00:00+0100,4757.49,4755,547,0,6070,3070.94,1701,863.7,4369,2207.24
2019-01-04T07:00:00Z,2019-01-04T08:00:00+0100,4992.16,4985.3,547,0.14,6070,2652.79,1701,537.34,4369,2115.45
2019-01-04T08:00:00Z,2019-01-04T09:00:00+0100,5001.07,4978.8,547,6.95,6070,2718.67,1701,723.88,4369,1994.79
2019-01-04T09:00:00Z,2019-01-04T10:00:00+0100,5067.72,5045.7,547,36.18,6070,3065.84,1701,855.89,4369,2209.95
2019-01-04T10:00:00Z,2019-01-04T11:00:00+0100,4994.79,4984.3,547,81.64,6070,3157.58,1701,822.55,4369,2335.03
2019-01-04T11:00:00Z,2019-01-04T12:00:00+0100,4815.94,4796.4,547,105.93,6070,3566.31,1701,933.68,4369,2632.63
2019-01-04T12:00:00Z,2019-01-04T13:00:00+0100,4757.81,4703.5,547,80.82,6070,3598.26,1701,843.23,4369,2755.03
2019-01-04T13:00:00Z,2019-01-04T14:00:00+0100,4620.06,4649,547,36.34,6070,3643.91,1701,782.53,4369,2861.38
2019-01-04T14:00:00Z,2019-01-04T15:00:00+0100,4595.98,4558.2,547,5.84,6070,3732.69,1701,832.61,4369,2900.08
2019-01-04T15:00:00Z,2019-01-04T16:00:00+0100,4854.46,4844.7,547,1.08,6070,3371.36,1701,780.16,4369,2591.2
2019-01-04T16:00:00Z,2019-01-04T17:00:00+0100,5157.23,5160.4,547,0,6070,3645.33,1701,804.32,4369,2841.01
2019-01-04T17:00:00Z,2019-01-04T18:00:00+0100,4976.29,4957.3,547,0,6070,3863.21,1701,967.1,4369,2896.11
2019-01-04T18:00:00Z,2019-01-04T19:00:00+0100,4576.85,4578.7,547,0,6070,3853.02,1701,994.8,4369,2858.22
