YEAR,MO,DY,HR,T2M
2017,1,1,0,7.33
2017,1,1,1,7.36
2017,1,1,2,7.37
2017,1,1,3,7.34
2017,1,1,4,7.18
2017,1,1,5,6.92
2017,1,1,6,6.54
2017,1,1,7,6.13
2017,1,1,8,5.74
2017,1,1,9,5.33
2017,1,1,10,5.07
2017,1,1,11,4.95
2017,1,1,12,4.93
2017,1,1,13,4.86
2017,1,1,14,4.5
2017,1,1,15,3.76
2017,1,1,16,3.15
2017,1,1,17,2.8
2017,1,1,18,2.56
2017,1,1,19,2.39
2017,1,1,20,1.93
2017,1,1,21,1.17
2017,1,1,22,0.47
2017,1,1,23,0.17
2017,1,2,0,0.15
2017,1,2,1,0.19
2017,1,2,2,-0.02
2017,1,2,3,-0.37
2017,1,2,4,-1.06
2017,1,2,5,-1.72
2017,1,2,6,-2.21
2017,1,2,7,-2.63
2017,1,2,8,-2.88
2017,1,2,9,-2.21
2017,1,2,10,-0.32
2017,1,2,11,1.01
2017,1,2,12,1.62
2017,1,2,13,1.64
2017,1,2,14,1.27
2017,1,2,15,0.69
2017,1,2,16,0.61
2017,1,2,17,0.71
2017,1,2,18,0.61
2017,1,2,19,0.32
2017,1,2,20,-0.21
2017,1,2,21,-0.5
2017,1,2,22,-0.87
2017,1,2,23,-0.85
2017,1,3,0,-0.45
2017,1,3,1,0.18
2017,1,3,2,0.56
2017,1,3,3,1.05
2017,1,3,4,1.6
2017,1,3,5,2.01
2017,1,3,6,2.34
2017,1,3,7,2.61
2017,1,3,8,3.1
2017,1,3,9,3.65
2017,1,3,10,4.25
2017,1,3,11,4.83
2017,1,3,12,5.81
2017,1,3,13,6.87
2017,1,3,14,7.0
2017,1,3,15,6.86
2017,1,3,16,6.64
2017,1,3,17,6.26
2017,1,3,18,5.75
2017,1,3,19,5.41
2017,1,3,20,5.01
2017,1,3,21,4.37
2017,1,3,22,3.53
2017,1,3,23,2.87
2017,1,4,0,2.76
2017,1,4,1,3.05
2017,1,4,2,3.4
2017,1,4,3,3.64
2017,1,4,4,4.21
2017,1,4,5,4.6
2017,1,4,6,4.13
2017,1,4,7,3.16
2017,1,4,8,2.18
2017,1,4,9,1.47
2017,1,4,10,1.43
2017,1,4,11,1.76
2017,1,4,12,2.14
2017,1,4,13,2.1
2017,1,4,14,1.6
2017,1,4,15,0.45
2017,1,4,16,-1.06
2017,1,4,17,-2.4
2017,1,4,18,-3.2
2017,1,4,19,-3.32
2017,1,4,20,-3.19
2017,1,4,21,-2.87
2017,1,4,22,-2.51
2017,1,4,23,-2.35
2017,1,5,0,-2.51
2017,1,5,1,-2.87
2017,1,5,2,-3.3
2017,1,5,3,-3.68
2017,1,5,4,-4.09
2017,1,5,5,-4.45
2017,1,5,6,-4.71
2017,1,5,7,-4.94
2017,1,5,8,-5.04
2017,1,5,9,-4.87
2017,1,5,10,-4.37
2017,1,5,11,-4.02
2017,1,5,12,-3.86
2017,1,5,13,-3.91
2017,1,5,14,-4.23
2017,1,5,15,-5.01
2017,1,5,16,-5.65
2017,1,5,17,-5.72
2017,1,5,18,-5.76
2017,1,5,19,-5.77
2017,1,5,20,-5.69
2017,1,5,21,-5.48
2017,1,5,22,-5.35
2017,1,5,23,-5.2
2017,1,6,0,-4.99
2017,1,6,1,-4.9
2017,1,6,2,-4.97
2017,1,6,3,-5.09
2017,1,6,4,-5.3
2017,1,6,5,-5.48
2017,1,6,6,-5.73
2017,1,6,7,-6.07
2017,1,6,8,-6.53
2017,1,6,9,-6.61
2017,1,6,10,-5.99
2017,1,6,11,-5.13
2017,1,6,12,-4.46
2017,1,6,13,-4.07
2017,1,6,14,-4.03
2017,1,6,15,-4.28
2017,1,6,16,-4.53
2017,1,6,17,-4.68
2017,1,6,18,-4.82
2017,1,6,19,-4.84
2017,1,6,20,-4.82
2017,1,6,21,-4.79
2017,1,6,22,-4.6
2017,1,6,23,-4.23
2017,1,7,0,-3.82
2017,1,7,1,-3.37
2017,1,7,2,-2.82
2017,1,7,3,-1.96
2017,1,7,4,-0.71
2017,1,7,5,0.38
2017,1,7,6,1.24
2017,1,7,7,2.32
2017,1,7,8,3.07
2017,1,7,9,3.47
2017,1,7,10,3.68
