utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DK_load_actual_entsoe_transparency,NO_load_actual_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,41151,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,40135,3100.02,15104.99
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,39106,2980.39,14882.56
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,38765,2933.49,14755.09
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,38941,2941.54,14903.03
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,39045,2999.89,15130.74
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,40206,3176.8,15414.52
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,41133,3292.27,15567.09
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,42963,3378.64,15852.32
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,45088,3562.9,16041.44
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,47013,3736.05,16262.85
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,48159,3837.81,16628.18
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,47164,3878.28,16826.51
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,46752,3856.4,16894.94
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,47403,3985.15,17203.71
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,49440,4262.07,17483.48
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,53410,4495.76,17221.79
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,53672,4491.8,17014.37
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,53012,4290.82,16826.73
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,50313,4047.51,16535.64
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,48730,3857.01,16274.93
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,48624,3588.33,15769.52
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,45668,3412.59,15194.49
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,42424,3212.1,14681.08
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,40577,2996.22,14289.64
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,39707,2942.88,14119.56
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,39504,2944.18,13966.28
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,40391,3019.46,14023.02
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,42382,3104.17,14464.79
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,45679,3523.94,15195.3
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,50418,3868.58,16243.79
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,54131,4190.57,17084.02
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,56505,4337.33,17377.06
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,58447,4515.6,17721.6
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,59453,4523.41,17850.66
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,59201,4474.24,17973.36
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,58564,4449.32,17857.49
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,57721,4396.41,18009.39
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,57276,4429.72,18175.22
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,58813,4741.13,18417.01
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,61605,5178.7,18334.78
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,61645,5091.42,18172.61
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,59283,4725.76,18061.35
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,55622,4319.18,17734.67
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,53186,4131.82,17169.11
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,50691,3823.52,16700.87
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,45323,3530.62,16164.04
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,40464,3391.71,15758.28
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,38338,3277.54,15414.33
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,36897,3116.86,15217.85
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,36104,3041.39,15166.04
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,36453,3015.66,15161.66
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,36839,3078.47,15242.05
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,38073,3322.07,15556.27
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,40819,3636.03,15927.65
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,44119,3888.58,16506.57
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,47421,4062.27,17247.61
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,49756,4177.13,17826.44
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,51917,4136.56,18018.5
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,52205,4073.81,18065.65
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,52147,4048.1,17926.31
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,50677,3986.69,17935.58
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,50478,3967.88,18097.12
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,52820,4337.85,18551.68
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,55854,4825.59,18625.01
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,56259,4751.57,18639.21
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,55017,4325.66,18222.84
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,50801,4048.36,17775.82
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,48359,3792.96,17414.83
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,47968,3570.88,17149.16
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,45427,3377.74,16870.66
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,42806,3186.15,16208.36
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,38517,3058.45,15900.48
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,37082,2963.9,15641.33
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,36575,2949.49,15673.46
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,36793,2961.16,15650.68
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,36336,2977.69,15901.3
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,35592,3115.01,16195.51
2015-01-04T06:00:00Z,2015-01-04T07:00:00+0100,38255,3343.84,16514.86
2015-01-04T07:00:00Z,2015-01-04T08:00:00+0100,41037,3643.23,16854.59
2015-01-04T08:00:00Z,2015-01-04T09:00:00+0100,43899,3897.32,17332.46
2015-01-04T09:00:00Z,2015-01-04T10:00:00+0100,46915,4042.52,18092.09
2015-01-04T10:00:00Z,2015-01-04T11:00:00+0100,50252,4104.91,18160.36
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,50784,4035.38,17960.89
2015-01-04T12:00:00Z,2015-01-04T13:00:00+0100,48824,3959.05,17818.34
2015-01-04T13:00:00Z,2015-01-04T14:00:00+0100,47517,3920.59,18036.82
2015-01-04T14:00:00Z,2015-01-04T15:00:00+0100,47398,3974.44,18560.72
2015-01-04T15:00:00Z,2015-01-04T16:00:00+0100,49465,4452.74,19142.08
2015-01-04T16:00:00Z,2015-01-04T17:00:00+0100,53400,4939.97,19288.87
2015-01-04T17:00:00Z,2015-01-04T18:00:00+0100,54108,4815.78,19142.38
2015-01-04T18:00:00Z,2015-01-04T19:00:00+0100,52621,4470.47,19087.96
2015-01-04T19:00:00Z,2015-01-04T20:00:00+0100,50243,4139.33,18740.43
2015-01-04T20:00:00Z,2015-01-04T21:00:00+0100,48877,3909.8,18431.14
2015-01-04T21:00:00Z,2015-01-04T22:00:00+0100,48808,3512.29,17957.87
2015-01-04T22:00:00Z,2015-01-04T23:00:00+0100,46024,3348.25,17352.43
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,42658,3190.45,16702.46
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,40699,3079.55,16227.77
2015-01-05T01:00:00Z,2015-01-05T02:00:00+0100,39447,2973.79,16189.38
2015-01-05T02:00:00Z,2015-01-05T03:00:00+0100,39513,2944.5,16133.91
2015-01-05T03:00:00Z,2015-01-05T04:00:00+0100,40440,3001.08,16306.49
2015-01-05T04:00:00Z,2015-01-05T05:00:00+0100,43931,3311.06,16851.95
2015-01-05T05:00:00Z,2015-01-05T06:00:00+0100,50074,4047.1,18212.13
2015-01-05T06:00:00Z,2015-01-05T07:00:00+0100,56244,4814.13,20028.02
2015-01-05T07:00:00Z,2015-01-05T08:00:00+0100,59860,5047.54,20770.81
2015-01-05T08:00:00Z,2015-01-05T09:00:00+0100,61179,5088.35,20638.24
2015-01-05T09:00:00Z,2015-01-05T10:00:00+0100,62104,5145.24,20656.22
2015-01-05T10:00:00Z,2015-01-05T11:00:00+0100,63018,5104.36,20558.61
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,62952,5021.55,20311.99
2015-01-05T12:00:00Z,2015-01-05T13:00:00+0100,62108,5024.23,20205.81
2015-01-05T13:00:00Z,2015-01-05T14:00:00+0100,61182,4985.56,20253.94
2015-01-05T14:00:00Z,2015-01-05T15:00:00+0100,60450,4912.72,20529.93
2015-01-05T15:00:00Z,2015-01-05T16:00:00+0100,61342,5149.11,20658.93
2015-01-05T16:00:00Z,2015-01-05T17:00:00+0100,65130,5524.92,20345.81
2015-01-05T17:00:00Z,2015-01-05T18:00:00+0100,64886,5257,20067.48
2015-01-05T18:00:00Z,2015-01-05T19:00:00+0100,63242,4904.15,19813.7
2015-01-05T19:00:00Z,2015-01-05T20:00:00+0100,59162,4557.88,19544.58
2015-01-05T20:00:00Z,2015-01-05T21:00:00+0100,56346,4230.98,19066.72
2015-01-05T21:00:00Z,2015-01-05T22:00:00+0100,54730,3850.42,18344.3
2015-01-05T22:00:00Z,2015-01-05T23:00:00+0100,50564,3486.25,17377.2
2015-01-05T23:00:00Z,2015-01-06T00:00:00+0100,47317,3249.55,16671.34
2015-01-06T00:00:00Z,2015-01-06T01:00:00+0100,45011,3137.68,16409.58
2015-01-06T01:00:00Z,2015-01-06T02:00:00+0100,44015,3102.22,16186.48
2015-01-06T02:00:00Z,2015-01-06T03:00:00+0100,44049,3088.44,16106.3
2015-01-06T03:00:00Z,2015-01-06T04:00:00+0100,44730,3168.03,16317.53
2015-01-06T04:00:00Z,2015-01-06T05:00:00+0100,46416,3426.04,16590.84
2015-01-06T05:00:00Z,2015-01-06T06:00:00+0100,50597,4117.36,17706.47
2015-01-06T06:00:00Z,2015-01-06T07:00:00+0100,55697,4892.08,19417.39
2015-01-06T07:00:00Z,2015-01-06T08:00:00+0100,57954,5165.19,19772.59
